"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Selected police-reported crime and calls for service during the COVID-19 pandemic","35100169",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510016901",1;2;3;4;8,"CURRENT - a cube available to the public and that is current","Monthly","2019-03-01","2022-06-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Violations and calls for service",,""
"3","Statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"2","Sexual assaults by non-family (levels 1, 2, 3)","","6","5","",,
"2","Sexual assaults by family (levels 1, 2, 3)","","7","5","",,
"2","Sexual assaults where relationship type is unknown","","8","5","",,
"2","Uttering threats by non-family","","11","10","",,
"2","Uttering threats by family","","12","10","",,
"2","Uttering threats where relationship type is unknown","","13","10","",,
"2","Breaking and entering, non-residential","","18","17","",,
"2","Breaking and entering, residential","","19","17","",,
"2","Breaking and entering where location type is unknown","","34","17","",,
"2","Total assaults (levels 1, 2, 3)","[141]","1","","",,
"2","Total sexual assaults (levels 1, 2, 3)","[131]","5","","",,
"2","Assault against peace or public officer (level 1)","[1460]","9","","",,
"2","Uttering threats","[1627]","10","","",,
"2","Total robbery","[160]","14","","",,
"2","Dangerous operation, causing death or bodily harm","[911]","15","","",,
"2","Impaired driving, causing death or bodily harm","[921]","16","","",,
"2","Total breaking and entering","[210]","17","","",,
"2","Motor vehicle theft","[2135]","20","","",,
"2","Shoplifting","[213]","21","","",,
"2","Fraud/identity theft/identity fraud","[216]","22","","",,
"2","Fail to comply with order","[3410]","23","","",,
"2","Impaired driving, operating while impaired","[923]","24","","",,
"2","Provincial/Territorial acts related to COVID-19","","25","","",7,
"2","Calls for service, domestic disturbances / disputes","","26","","",,
"2","Calls for service, Mental Health Act (MHA) apprehension","","27","","",,
"2","Calls for service, mental health - other","","28","","",,
"2","Calls for service, suicide/attempted suicide","","29","","",,
"2","Calls for service, overdose","","30","","",5,
"2","Calls for service, child welfare check","","31","","",,
"2","Calls for service, check welfare - general","","32","","",,
"2","Calls for service, child custody matter - domestic","","33","","",,
"3","Actual incidents","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3302","Uniform Crime Reporting Survey"

"Subject Code","Subject Name"
"35","Crime and justice"

"Note ID",Note
1,"The Canadian Centre for Justice and Community Safety Statistics (CCJCSS) is conducting a special survey collection from a sample of police services across Canada measuring the impact of COVID-19 on selected types of crimes and calls for service. In addition, counts of occurrences against provincial / territorial acts related to the containment of the COVID-19 pandemic were requested. Note that data for the selected violations in this table are preliminary and may differ from other data for the same reference years published from the Uniform Crime Reporting Survey as the collection processes differ. Previously published data may have been revised."
2,"Includes data reported by a sample of 19 police services across Canada for this release. At the time of this release, the Calgary Police Service was unable to provide data submissions for the year 2022, the Saskatoon Police Service was unable to provide a data submission for the months of January and June 2022, the London Police Service was unable to provide a data submission for the month of June 2022, the Montréal Police Service, Quebec Provincial Police and Waterloo Regional Police Service were unable to provide a data submission for the months of May and June 2022, and the Waterloo Regional Police Service was unable to provide violations data for the month of March 2022. Furthermore, the Montréal Police Service, Quebec Provincial Police, Royal Canadian Mounted Police, Edmonton Police Service and the Winnipeg Police Service were unable to provide calls for service data for all months. Additionally, some police services may not report data for every violation type or every call type in every month. Therefore, caution should be exercised when comparing monthly totals across police services."
3,"Calls for service (CFS) are defined as calls received by police services that are citizen-generated or officer initiated, and required the tasking of police resources (for example, a call to a 9-1-1 emergency line that resulted in the dispatch of an officer). Calls for service information was reported for selected months by 14 police services."
4,"Some police services who provided calls for service information overall were not able to report for every call type. In addition, police services in some cases were unable to separate the call types as presented, and provided counts that combine one or more call type together. For example, calls for domestic disputes may include child welfare situations, and calls for other mental health may include some Mental Health Act (MHA) apprehensions. Interpret calls for service data with caution."
5,"Overdose counts do not reflect all overdose incidents occurring within police service boundaries as response is frequently by paramedics. Where police do not attend, the occurrence will not appear in police records."
6,"As of May 2021, data for violations for the Victoria Police Department have been revised back to March 2019. Data on calls for service for the Victoria Police Department represent counts of events specifically related to the COVID-19 pandemic, rather than all counts of calls for service."
7,"Provincial and Territorial Acts related to COVID-19 include occurrences where police responded to an incident related to compliance under an act related to the COVID-19 pandemic, such as a provincial public health act or an emergency measures act. Some police services who provided information overall were not able to distinguish at the time of submission whether the occurrence was related to a provincial or federal act. Some occurrences may include responses related to the Federal Quarantine Act. Note that data on police-reported violations against the Federal Quarantine Act are captured in the Uniform Crime Reporting Survey (UCR) and published with annual crime statistics data."
8,"The total for selected police services is excluded because there may be variations in the number of jurisdictions reporting from one period to the next, which could result in false comparisons between time periods."

"Correction ID","Correction Date","Correction Note"
"2316","2021-04-01","On April 1, 2021, data for “Calls for service, mental health – other” from November 2019 and 2020, December 2019 and 2020, and January 2020 and 2021 for the Royal Newfoundland Constabulary were corrected. Additionally, data for “Calls for service, overdose”; “Calls for service, child welfare check”; and “Calls for service, child custody matter – domestic” for all reference periods for the Royal Newfoundland Constabulary were corrected to show as not available due to a lack of correspondence between the data reported and the selected categories.",
"1270","2020-09-10","On September 10, 2020, the data for June 2020 have been corrected for Winnipeg Police Service for assault and sexual assault violations and breakdowns.",

