,Vector ID,Year,Province,Employment Type,Type of Statistic,Unit of Measure,Value
40,v107658055,2019,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,13.9
41,v107658056,2019,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,8.6
42,v107658057,2019,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,9.4
43,v107658058,2019,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,5.0
44,v107658059,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,9.1
45,v107658060,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,5.2
46,v107658061,2019,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,3.9
47,v107658062,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,7.7
48,v107658063,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,4.7
49,v107658064,2019,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,
50,v107658065,2019,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,5.7
51,v107658100,2019,Prince Edward Island,All persons with employment income,Number of persons,Number,96.0
52,v107658101,2019,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,39300.0
53,v107658102,2019,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,31100.0
54,v107658103,2019,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,9.6
55,v107658104,2019,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,9.2
56,v107658105,2019,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,16.3
57,v107658106,2019,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,13.1
58,v107658107,2019,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,13.3
59,v107658108,2019,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,9.1
60,v107658109,2019,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,7.9
61,v107658110,2019,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,8.1
62,v107658111,2019,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,4.6
63,v107658112,2019,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,3.5
64,v107658113,2019,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,8.2
65,v107658114,2019,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,5.5
66,v107658115,2019,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,2.8
67,v107658116,2019,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,5.2
68,v107658151,2019,Prince Edward Island,All persons with employment income,Number of persons,Number,49.0
69,v107658152,2019,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,43600.0
70,v107658153,2019,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,34800.0
71,v107658154,2019,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,8.3
72,v107658155,2019,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,7.1
73,v107658156,2019,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,13.9
74,v107658157,2019,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,13.6
75,v107658158,2019,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,13.0
76,v107658159,2019,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,9.3
77,v107658160,2019,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,10.0
78,v107658161,2019,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,9.9
79,v107658162,2019,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,5.1
80,v107658163,2019,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,4.9
81,v107658164,2019,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,8.5
82,v107658165,2019,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,6.8
83,v107658166,2019,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,
84,v107658167,2019,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,6.4
85,v107658202,2019,Prince Edward Island,All persons with employment income,Number of persons,Number,47.0
86,v107658203,2019,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,34700.0
87,v107658204,2019,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,26800.0
88,v107658205,2019,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.9
89,v107658206,2019,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,11.5
90,v107658207,2019,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,18.7
91,v107658208,2019,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,12.6
92,v107658209,2019,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,13.7
93,v107658210,2019,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,8.8
94,v107658211,2019,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,5.7
95,v107658212,2019,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,6.2
96,v107658213,2019,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,4.0
97,v107658214,2019,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,2.2
98,v107658215,2019,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,8.0
99,v107658216,2019,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,4.1
100,v107658217,2019,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,3.9
101,v107658218,2019,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,3.8
102,v107658253,2019,Nova Scotia,All persons with employment income,Number of persons,Number,544.0
103,v107658254,2019,Nova Scotia,All persons with employment income,Average employment income,2021 constant dollars,43200.0
104,v107658255,2019,Nova Scotia,All persons with employment income,Median employment income,2021 constant dollars,34200.0
105,v107658256,2019,Nova Scotia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.8
106,v107658257,2019,Nova Scotia,All persons with employment income,"$5,000 to $9,999",Percent,8.7
107,v107658258,2019,Nova Scotia,All persons with employment income,"$10,000 to $19,999",Percent,14.1
108,v107658259,2019,Nova Scotia,All persons with employment income,"$20,000 to $29,999",Percent,11.5
109,v107658260,2019,Nova Scotia,All persons with employment income,"$30,000 to $39,999",Percent,11.9
110,v107658261,2019,Nova Scotia,All persons with employment income,"$40,000 to $49,999",Percent,9.2
111,v107658262,2019,Nova Scotia,All persons with employment income,"$50,000 to $59,999",Percent,8.0
112,v107658263,2019,Nova Scotia,All persons with employment income,"$60,000 to $79,999",Percent,11.4
113,v107658264,2019,Nova Scotia,All persons with employment income,"$60,000 to $69,999",Percent,5.6
114,v107658265,2019,Nova Scotia,All persons with employment income,"$70,000 to $79,999",Percent,5.8
115,v107658266,2019,Nova Scotia,All persons with employment income,"$80,000 to $99,999",Percent,7.6
116,v107658267,2019,Nova Scotia,All persons with employment income,"$80,000 to $89,999",Percent,3.9
117,v107658268,2019,Nova Scotia,All persons with employment income,"$90,000 to $99,999",Percent,3.7
118,v107658269,2019,Nova Scotia,All persons with employment income,"$100,000 and over",Percent,6.9
119,v107658304,2019,Nova Scotia,All persons with employment income,Number of persons,Number,274.0
120,v107658305,2019,Nova Scotia,All persons with employment income,Average employment income,2021 constant dollars,50400.0
121,v107658306,2019,Nova Scotia,All persons with employment income,Median employment income,2021 constant dollars,39000.0
122,v107658307,2019,Nova Scotia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.2
123,v107658308,2019,Nova Scotia,All persons with employment income,"$5,000 to $9,999",Percent,5.9
124,v107658309,2019,Nova Scotia,All persons with employment income,"$10,000 to $19,999",Percent,12.1
125,v107658310,2019,Nova Scotia,All persons with employment income,"$20,000 to $29,999",Percent,10.6
126,v107658311,2019,Nova Scotia,All persons with employment income,"$30,000 to $39,999",Percent,12.4
127,v107658312,2019,Nova Scotia,All persons with employment income,"$40,000 to $49,999",Percent,7.9
128,v107658313,2019,Nova Scotia,All persons with employment income,"$50,000 to $59,999",Percent,7.9
129,v107658314,2019,Nova Scotia,All persons with employment income,"$60,000 to $79,999",Percent,12.9
130,v107658315,2019,Nova Scotia,All persons with employment income,"$60,000 to $69,999",Percent,6.5
131,v107658316,2019,Nova Scotia,All persons with employment income,"$70,000 to $79,999",Percent,6.5
132,v107658317,2019,Nova Scotia,All persons with employment income,"$80,000 to $99,999",Percent,9.6
133,v107658318,2019,Nova Scotia,All persons with employment income,"$80,000 to $89,999",Percent,4.3
134,v107658319,2019,Nova Scotia,All persons with employment income,"$90,000 to $99,999",Percent,5.3
135,v107658320,2019,Nova Scotia,All persons with employment income,"$100,000 and over",Percent,10.5
136,v107658355,2019,Nova Scotia,All persons with employment income,Number of persons,Number,270.0
137,v107658356,2019,Nova Scotia,All persons with employment income,Average employment income,2021 constant dollars,35900.0
138,v107658357,2019,Nova Scotia,All persons with employment income,Median employment income,2021 constant dollars,29400.0
139,v107658358,2019,Nova Scotia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.3
140,v107658359,2019,Nova Scotia,All persons with employment income,"$5,000 to $9,999",Percent,11.5
141,v107658360,2019,Nova Scotia,All persons with employment income,"$10,000 to $19,999",Percent,16.2
142,v107658361,2019,Nova Scotia,All persons with employment income,"$20,000 to $29,999",Percent,12.4
143,v107658362,2019,Nova Scotia,All persons with employment income,"$30,000 to $39,999",Percent,11.4
144,v107658363,2019,Nova Scotia,All persons with employment income,"$40,000 to $49,999",Percent,10.5
145,v107658364,2019,Nova Scotia,All persons with employment income,"$50,000 to $59,999",Percent,8.1
146,v107658365,2019,Nova Scotia,All persons with employment income,"$60,000 to $79,999",Percent,9.8
147,v107658366,2019,Nova Scotia,All persons with employment income,"$60,000 to $69,999",Percent,4.6
148,v107658367,2019,Nova Scotia,All persons with employment income,"$70,000 to $79,999",Percent,5.2
149,v107658368,2019,Nova Scotia,All persons with employment income,"$80,000 to $99,999",Percent,5.5
150,v107658369,2019,Nova Scotia,All persons with employment income,"$80,000 to $89,999",Percent,3.5
151,v107658370,2019,Nova Scotia,All persons with employment income,"$90,000 to $99,999",Percent,2.0
152,v107658371,2019,Nova Scotia,All persons with employment income,"$100,000 and over",Percent,3.2
153,v107658406,2019,New Brunswick,All persons with employment income,Number of persons,Number,437.0
154,v107658407,2019,New Brunswick,All persons with employment income,Average employment income,2021 constant dollars,43100.0
155,v107658408,2019,New Brunswick,All persons with employment income,Median employment income,2021 constant dollars,34700.0
156,v107658409,2019,New Brunswick,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.8
157,v107658410,2019,New Brunswick,All persons with employment income,"$5,000 to $9,999",Percent,7.4
158,v107658411,2019,New Brunswick,All persons with employment income,"$10,000 to $19,999",Percent,14.1
159,v107658412,2019,New Brunswick,All persons with employment income,"$20,000 to $29,999",Percent,12.2
160,v107658413,2019,New Brunswick,All persons with employment income,"$30,000 to $39,999",Percent,12.0
161,v107658414,2019,New Brunswick,All persons with employment income,"$40,000 to $49,999",Percent,10.9
162,v107658415,2019,New Brunswick,All persons with employment income,"$50,000 to $59,999",Percent,8.2
163,v107658416,2019,New Brunswick,All persons with employment income,"$60,000 to $79,999",Percent,11.0
164,v107658417,2019,New Brunswick,All persons with employment income,"$60,000 to $69,999",Percent,6.7
165,v107658418,2019,New Brunswick,All persons with employment income,"$70,000 to $79,999",Percent,4.4
166,v107658419,2019,New Brunswick,All persons with employment income,"$80,000 to $99,999",Percent,6.5
167,v107658420,2019,New Brunswick,All persons with employment income,"$80,000 to $89,999",Percent,3.4
168,v107658421,2019,New Brunswick,All persons with employment income,"$90,000 to $99,999",Percent,3.1
169,v107658422,2019,New Brunswick,All persons with employment income,"$100,000 and over",Percent,7.0
170,v107658457,2019,New Brunswick,All persons with employment income,Number of persons,Number,228.0
171,v107658458,2019,New Brunswick,All persons with employment income,Average employment income,2021 constant dollars,48400.0
172,v107658459,2019,New Brunswick,All persons with employment income,Median employment income,2021 constant dollars,40000.0
173,v107658460,2019,New Brunswick,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.1
174,v107658461,2019,New Brunswick,All persons with employment income,"$5,000 to $9,999",Percent,5.2
175,v107658462,2019,New Brunswick,All persons with employment income,"$10,000 to $19,999",Percent,13.2
176,v107658463,2019,New Brunswick,All persons with employment income,"$20,000 to $29,999",Percent,11.2
177,v107658464,2019,New Brunswick,All persons with employment income,"$30,000 to $39,999",Percent,10.4
178,v107658465,2019,New Brunswick,All persons with employment income,"$40,000 to $49,999",Percent,11.3
179,v107658466,2019,New Brunswick,All persons with employment income,"$50,000 to $59,999",Percent,9.3
180,v107658467,2019,New Brunswick,All persons with employment income,"$60,000 to $79,999",Percent,13.3
181,v107658468,2019,New Brunswick,All persons with employment income,"$60,000 to $69,999",Percent,8.0
182,v107658469,2019,New Brunswick,All persons with employment income,"$70,000 to $79,999",Percent,5.3
183,v107658470,2019,New Brunswick,All persons with employment income,"$80,000 to $99,999",Percent,6.3
184,v107658471,2019,New Brunswick,All persons with employment income,"$80,000 to $89,999",Percent,3.5
185,v107658472,2019,New Brunswick,All persons with employment income,"$90,000 to $99,999",Percent,2.8
186,v107658473,2019,New Brunswick,All persons with employment income,"$100,000 and over",Percent,9.7
187,v107658508,2019,New Brunswick,All persons with employment income,Number of persons,Number,209.0
188,v107658509,2019,New Brunswick,All persons with employment income,Average employment income,2021 constant dollars,37400.0
189,v107658510,2019,New Brunswick,All persons with employment income,Median employment income,2021 constant dollars,30900.0
190,v107658511,2019,New Brunswick,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.6
191,v107658512,2019,New Brunswick,All persons with employment income,"$5,000 to $9,999",Percent,9.7
192,v107658513,2019,New Brunswick,All persons with employment income,"$10,000 to $19,999",Percent,15.1
193,v107658514,2019,New Brunswick,All persons with employment income,"$20,000 to $29,999",Percent,13.2
194,v107658515,2019,New Brunswick,All persons with employment income,"$30,000 to $39,999",Percent,13.6
195,v107658516,2019,New Brunswick,All persons with employment income,"$40,000 to $49,999",Percent,10.5
196,v107658517,2019,New Brunswick,All persons with employment income,"$50,000 to $59,999",Percent,7.0
197,v107658518,2019,New Brunswick,All persons with employment income,"$60,000 to $79,999",Percent,8.6
198,v107658519,2019,New Brunswick,All persons with employment income,"$60,000 to $69,999",Percent,5.2
199,v107658520,2019,New Brunswick,All persons with employment income,"$70,000 to $79,999",Percent,3.3
200,v107658521,2019,New Brunswick,All persons with employment income,"$80,000 to $99,999",Percent,6.6
201,v107658522,2019,New Brunswick,All persons with employment income,"$80,000 to $89,999",Percent,3.2
202,v107658523,2019,New Brunswick,All persons with employment income,"$90,000 to $99,999",Percent,3.5
203,v107658524,2019,New Brunswick,All persons with employment income,"$100,000 and over",Percent,4.0
204,v107658559,2019,Quebec,All persons with employment income,Number of persons,Number,4919.0
205,v107658560,2019,Quebec,All persons with employment income,Average employment income,2021 constant dollars,45700.0
206,v107658561,2019,Quebec,All persons with employment income,Median employment income,2021 constant dollars,37300.0
207,v107658562,2019,Quebec,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.5
208,v107658563,2019,Quebec,All persons with employment income,"$5,000 to $9,999",Percent,7.2
209,v107658564,2019,Quebec,All persons with employment income,"$10,000 to $19,999",Percent,12.2
210,v107658565,2019,Quebec,All persons with employment income,"$20,000 to $29,999",Percent,11.0
211,v107658566,2019,Quebec,All persons with employment income,"$30,000 to $39,999",Percent,11.3
212,v107658567,2019,Quebec,All persons with employment income,"$40,000 to $49,999",Percent,10.6
213,v107658568,2019,Quebec,All persons with employment income,"$50,000 to $59,999",Percent,7.9
214,v107658569,2019,Quebec,All persons with employment income,"$60,000 to $79,999",Percent,13.4
215,v107658570,2019,Quebec,All persons with employment income,"$60,000 to $69,999",Percent,7.4
216,v107658571,2019,Quebec,All persons with employment income,"$70,000 to $79,999",Percent,6.0
217,v107658572,2019,Quebec,All persons with employment income,"$80,000 to $99,999",Percent,6.8
218,v107658573,2019,Quebec,All persons with employment income,"$80,000 to $89,999",Percent,4.0
219,v107658574,2019,Quebec,All persons with employment income,"$90,000 to $99,999",Percent,2.9
220,v107658575,2019,Quebec,All persons with employment income,"$100,000 and over",Percent,8.2
221,v107658610,2019,Quebec,All persons with employment income,Number of persons,Number,2595.0
222,v107658611,2019,Quebec,All persons with employment income,Average employment income,2021 constant dollars,51000.0
223,v107658612,2019,Quebec,All persons with employment income,Median employment income,2021 constant dollars,41400.0
224,v107658613,2019,Quebec,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.1
225,v107658614,2019,Quebec,All persons with employment income,"$5,000 to $9,999",Percent,7.1
226,v107658615,2019,Quebec,All persons with employment income,"$10,000 to $19,999",Percent,10.0
227,v107658616,2019,Quebec,All persons with employment income,"$20,000 to $29,999",Percent,9.3
228,v107658617,2019,Quebec,All persons with employment income,"$30,000 to $39,999",Percent,10.8
229,v107658618,2019,Quebec,All persons with employment income,"$40,000 to $49,999",Percent,9.5
230,v107658619,2019,Quebec,All persons with employment income,"$50,000 to $59,999",Percent,8.7
231,v107658620,2019,Quebec,All persons with employment income,"$60,000 to $79,999",Percent,15.2
232,v107658621,2019,Quebec,All persons with employment income,"$60,000 to $69,999",Percent,8.3
233,v107658622,2019,Quebec,All persons with employment income,"$70,000 to $79,999",Percent,6.9
234,v107658623,2019,Quebec,All persons with employment income,"$80,000 to $99,999",Percent,7.1
235,v107658624,2019,Quebec,All persons with employment income,"$80,000 to $89,999",Percent,4.0
236,v107658625,2019,Quebec,All persons with employment income,"$90,000 to $99,999",Percent,3.1
237,v107658626,2019,Quebec,All persons with employment income,"$100,000 and over",Percent,11.2
238,v107658661,2019,Quebec,All persons with employment income,Number of persons,Number,2323.0
239,v107658662,2019,Quebec,All persons with employment income,Average employment income,2021 constant dollars,39700.0
240,v107658663,2019,Quebec,All persons with employment income,Median employment income,2021 constant dollars,32800.0
241,v107658664,2019,Quebec,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.9
242,v107658665,2019,Quebec,All persons with employment income,"$5,000 to $9,999",Percent,7.4
243,v107658666,2019,Quebec,All persons with employment income,"$10,000 to $19,999",Percent,14.6
244,v107658667,2019,Quebec,All persons with employment income,"$20,000 to $29,999",Percent,12.8
245,v107658668,2019,Quebec,All persons with employment income,"$30,000 to $39,999",Percent,11.8
246,v107658669,2019,Quebec,All persons with employment income,"$40,000 to $49,999",Percent,11.8
247,v107658670,2019,Quebec,All persons with employment income,"$50,000 to $59,999",Percent,7.0
248,v107658671,2019,Quebec,All persons with employment income,"$60,000 to $79,999",Percent,11.5
249,v107658672,2019,Quebec,All persons with employment income,"$60,000 to $69,999",Percent,6.4
250,v107658673,2019,Quebec,All persons with employment income,"$70,000 to $79,999",Percent,5.0
251,v107658674,2019,Quebec,All persons with employment income,"$80,000 to $99,999",Percent,6.4
252,v107658675,2019,Quebec,All persons with employment income,"$80,000 to $89,999",Percent,3.9
253,v107658676,2019,Quebec,All persons with employment income,"$90,000 to $99,999",Percent,2.6
254,v107658677,2019,Quebec,All persons with employment income,"$100,000 and over",Percent,4.7
255,v107658712,2019,Ontario,All persons with employment income,Number of persons,Number,8431.0
256,v107658713,2019,Ontario,All persons with employment income,Average employment income,2021 constant dollars,50500.0
257,v107658714,2019,Ontario,All persons with employment income,Median employment income,2021 constant dollars,38900.0
258,v107658715,2019,Ontario,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.7
259,v107658716,2019,Ontario,All persons with employment income,"$5,000 to $9,999",Percent,7.4
260,v107658717,2019,Ontario,All persons with employment income,"$10,000 to $19,999",Percent,12.4
261,v107658718,2019,Ontario,All persons with employment income,"$20,000 to $29,999",Percent,10.0
262,v107658719,2019,Ontario,All persons with employment income,"$30,000 to $39,999",Percent,9.6
263,v107658720,2019,Ontario,All persons with employment income,"$40,000 to $49,999",Percent,9.5
264,v107658721,2019,Ontario,All persons with employment income,"$50,000 to $59,999",Percent,7.7
265,v107658722,2019,Ontario,All persons with employment income,"$60,000 to $79,999",Percent,11.5
266,v107658723,2019,Ontario,All persons with employment income,"$60,000 to $69,999",Percent,6.3
267,v107658724,2019,Ontario,All persons with employment income,"$70,000 to $79,999",Percent,5.2
268,v107658725,2019,Ontario,All persons with employment income,"$80,000 to $99,999",Percent,8.2
269,v107658726,2019,Ontario,All persons with employment income,"$80,000 to $89,999",Percent,4.4
270,v107658727,2019,Ontario,All persons with employment income,"$90,000 to $99,999",Percent,3.8
271,v107658728,2019,Ontario,All persons with employment income,"$100,000 and over",Percent,12.0
272,v107658763,2019,Ontario,All persons with employment income,Number of persons,Number,4457.0
273,v107658764,2019,Ontario,All persons with employment income,Average employment income,2021 constant dollars,58300.0
274,v107658765,2019,Ontario,All persons with employment income,Median employment income,2021 constant dollars,46500.0
275,v107658766,2019,Ontario,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.9
276,v107658767,2019,Ontario,All persons with employment income,"$5,000 to $9,999",Percent,5.8
277,v107658768,2019,Ontario,All persons with employment income,"$10,000 to $19,999",Percent,10.8
278,v107658769,2019,Ontario,All persons with employment income,"$20,000 to $29,999",Percent,8.9
279,v107658770,2019,Ontario,All persons with employment income,"$30,000 to $39,999",Percent,8.4
280,v107658771,2019,Ontario,All persons with employment income,"$40,000 to $49,999",Percent,8.6
281,v107658772,2019,Ontario,All persons with employment income,"$50,000 to $59,999",Percent,7.6
282,v107658773,2019,Ontario,All persons with employment income,"$60,000 to $79,999",Percent,13.0
283,v107658774,2019,Ontario,All persons with employment income,"$60,000 to $69,999",Percent,6.7
284,v107658775,2019,Ontario,All persons with employment income,"$70,000 to $79,999",Percent,6.3
285,v107658776,2019,Ontario,All persons with employment income,"$80,000 to $99,999",Percent,10.3
286,v107658777,2019,Ontario,All persons with employment income,"$80,000 to $89,999",Percent,5.4
287,v107658778,2019,Ontario,All persons with employment income,"$90,000 to $99,999",Percent,4.8
288,v107658779,2019,Ontario,All persons with employment income,"$100,000 and over",Percent,15.6
289,v107658814,2019,Ontario,All persons with employment income,Number of persons,Number,3974.0
290,v107658815,2019,Ontario,All persons with employment income,Average employment income,2021 constant dollars,41700.0
291,v107658816,2019,Ontario,All persons with employment income,Median employment income,2021 constant dollars,32900.0
292,v107658817,2019,Ontario,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.5
293,v107658818,2019,Ontario,All persons with employment income,"$5,000 to $9,999",Percent,9.1
294,v107658819,2019,Ontario,All persons with employment income,"$10,000 to $19,999",Percent,14.2
295,v107658820,2019,Ontario,All persons with employment income,"$20,000 to $29,999",Percent,11.2
296,v107658821,2019,Ontario,All persons with employment income,"$30,000 to $39,999",Percent,10.9
297,v107658822,2019,Ontario,All persons with employment income,"$40,000 to $49,999",Percent,10.5
298,v107658823,2019,Ontario,All persons with employment income,"$50,000 to $59,999",Percent,7.8
299,v107658824,2019,Ontario,All persons with employment income,"$60,000 to $79,999",Percent,9.9
300,v107658825,2019,Ontario,All persons with employment income,"$60,000 to $69,999",Percent,5.9
301,v107658826,2019,Ontario,All persons with employment income,"$70,000 to $79,999",Percent,4.0
302,v107658827,2019,Ontario,All persons with employment income,"$80,000 to $99,999",Percent,5.8
303,v107658828,2019,Ontario,All persons with employment income,"$80,000 to $89,999",Percent,3.2
304,v107658829,2019,Ontario,All persons with employment income,"$90,000 to $99,999",Percent,2.6
305,v107658830,2019,Ontario,All persons with employment income,"$100,000 and over",Percent,8.1
306,v107659018,2019,Manitoba,All persons with employment income,Number of persons,Number,752.0
