,Vector ID,Year,Province,Labour force characteristics,Sex,Unit of Measure,Value,Coordinate
53,v1063542230,2019,Newfoundland and Labrador,Labour force,Males,Persons,6.4,2.2.2.9
54,v1063542231,2019,Newfoundland and Labrador,Labour force,Males,Persons,11.4,2.2.2.10
55,v1063542232,2019,Newfoundland and Labrador,Labour force,Males,Persons,13.0,2.2.2.11
56,v1063542233,2019,Newfoundland and Labrador,Labour force,Males,Persons,12.7,2.2.2.12
57,v1063542234,2019,Newfoundland and Labrador,Labour force,Males,Persons,12.5,2.2.2.13
58,v1063542235,2019,Newfoundland and Labrador,Labour force,Males,Persons,14.3,2.2.2.14
59,v1063542236,2019,Newfoundland and Labrador,Labour force,Males,Persons,15.5,2.2.2.15
60,v1063542237,2019,Newfoundland and Labrador,Labour force,Males,Persons,16.1,2.2.2.16
61,v1063542238,2019,Newfoundland and Labrador,Labour force,Males,Persons,16.3,2.2.2.17
62,v1063542239,2019,Newfoundland and Labrador,Labour force,Males,Persons,11.5,2.2.2.18
63,v1063542240,2019,Newfoundland and Labrador,Labour force,Males,Persons,8.5,2.2.2.19
64,v1063542241,2019,Newfoundland and Labrador,Labour force,Males,Persons,5.6,2.2.2.20
65,v1063542242,2019,Newfoundland and Labrador,Labour force,Males,Persons,2.8,2.2.2.21
66,v1063542244,2019,Newfoundland and Labrador,Labour force,Females,Persons,123.6,2.2.3.1
67,v1063542245,2019,Newfoundland and Labrador,Labour force,Females,Persons,16.0,2.2.3.2
68,v1063542246,2019,Newfoundland and Labrador,Labour force,Females,Persons,107.6,2.2.3.3
69,v1063542247,2019,Newfoundland and Labrador,Labour force,Females,Persons,49.5,2.2.3.4
70,v1063542265,2019,Newfoundland and Labrador,Labour force,Females,Persons,53.8,2.2.3.22
71,v1063542248,2019,Newfoundland and Labrador,Labour force,Females,Persons,58.1,2.2.3.5
72,v1063542249,2019,Newfoundland and Labrador,Labour force,Females,Persons,80.5,2.2.3.6
73,v1063542250,2019,Newfoundland and Labrador,Labour force,Females,Persons,27.1,2.2.3.7
74,v1063542251,2019,Newfoundland and Labrador,Labour force,Females,Persons,119.3,2.2.3.8
75,v1063542252,2019,Newfoundland and Labrador,Labour force,Females,Persons,5.9,2.2.3.9
76,v1063542253,2019,Newfoundland and Labrador,Labour force,Females,Persons,10.1,2.2.3.10
77,v1063542254,2019,Newfoundland and Labrador,Labour force,Females,Persons,11.0,2.2.3.11
78,v1063542255,2019,Newfoundland and Labrador,Labour force,Females,Persons,11.5,2.2.3.12
79,v1063542256,2019,Newfoundland and Labrador,Labour force,Females,Persons,14.0,2.2.3.13
80,v1063542257,2019,Newfoundland and Labrador,Labour force,Females,Persons,13.0,2.2.3.14
81,v1063542258,2019,Newfoundland and Labrador,Labour force,Females,Persons,15.8,2.2.3.15
82,v1063542259,2019,Newfoundland and Labrador,Labour force,Females,Persons,15.1,2.2.3.16
83,v1063542260,2019,Newfoundland and Labrador,Labour force,Females,Persons,13.9,2.2.3.17
84,v1063542261,2019,Newfoundland and Labrador,Labour force,Females,Persons,8.8,2.2.3.18
85,v1063542262,2019,Newfoundland and Labrador,Labour force,Females,Persons,4.3,2.2.3.19
86,v1063542263,2019,Newfoundland and Labrador,Labour force,Females,Persons,3.1,2.2.3.20
87,v1063542264,2019,Newfoundland and Labrador,Labour force,Females,Persons,1.2,2.2.3.21
88,v1063542288,2019,Newfoundland and Labrador,Employment,Males,Persons,118.5,2.3.2.1
89,v1063542289,2019,Newfoundland and Labrador,Employment,Males,Persons,14.5,2.3.2.2
90,v1063542290,2019,Newfoundland and Labrador,Employment,Males,Persons,104.0,2.3.2.3
91,v1063542291,2019,Newfoundland and Labrador,Employment,Males,Persons,46.4,2.3.2.4
92,v1063542309,2019,Newfoundland and Labrador,Employment,Males,Persons,50.5,2.3.2.22
93,v1063542292,2019,Newfoundland and Labrador,Employment,Males,Persons,57.6,2.3.2.5
94,v1063542293,2019,Newfoundland and Labrador,Employment,Males,Persons,73.9,2.3.2.6
95,v1063542294,2019,Newfoundland and Labrador,Employment,Males,Persons,30.1,2.3.2.7
96,v1063542295,2019,Newfoundland and Labrador,Employment,Males,Persons,111.3,2.3.2.8
97,v1063542296,2019,Newfoundland and Labrador,Employment,Males,Persons,4.9,2.3.2.9
98,v1063542297,2019,Newfoundland and Labrador,Employment,Males,Persons,9.6,2.3.2.10
99,v1063542298,2019,Newfoundland and Labrador,Employment,Males,Persons,10.8,2.3.2.11
100,v1063542299,2019,Newfoundland and Labrador,Employment,Males,Persons,11.5,2.3.2.12
101,v1063542300,2019,Newfoundland and Labrador,Employment,Males,Persons,11.4,2.3.2.13
102,v1063542301,2019,Newfoundland and Labrador,Employment,Males,Persons,12.7,2.3.2.14
103,v1063542302,2019,Newfoundland and Labrador,Employment,Males,Persons,13.8,2.3.2.15
104,v1063542303,2019,Newfoundland and Labrador,Employment,Males,Persons,13.8,2.3.2.16
105,v1063542304,2019,Newfoundland and Labrador,Employment,Males,Persons,13.7,2.3.2.17
106,v1063542305,2019,Newfoundland and Labrador,Employment,Males,Persons,9.3,2.3.2.18
107,v1063542306,2019,Newfoundland and Labrador,Employment,Males,Persons,7.1,2.3.2.19
108,v1063542307,2019,Newfoundland and Labrador,Employment,Males,Persons,4.7,2.3.2.20
109,v1063542308,2019,Newfoundland and Labrador,Employment,Males,Persons,2.4,2.3.2.21
110,v1063542310,2019,Newfoundland and Labrador,Employment,Females,Persons,111.4,2.3.3.1
111,v1063542311,2019,Newfoundland and Labrador,Employment,Females,Persons,13.4,2.3.3.2
112,v1063542312,2019,Newfoundland and Labrador,Employment,Females,Persons,98.0,2.3.3.3
113,v1063542313,2019,Newfoundland and Labrador,Employment,Females,Persons,45.4,2.3.3.4
114,v1063542331,2019,Newfoundland and Labrador,Employment,Females,Persons,48.6,2.3.3.22
115,v1063542314,2019,Newfoundland and Labrador,Employment,Females,Persons,52.6,2.3.3.5
116,v1063542315,2019,Newfoundland and Labrador,Employment,Females,Persons,74.0,2.3.3.6
117,v1063542316,2019,Newfoundland and Labrador,Employment,Females,Persons,24.0,2.3.3.7
118,v1063542317,2019,Newfoundland and Labrador,Employment,Females,Persons,107.4,2.3.3.8
119,v1063542318,2019,Newfoundland and Labrador,Employment,Females,Persons,4.6,2.3.3.9
120,v1063542319,2019,Newfoundland and Labrador,Employment,Females,Persons,8.8,2.3.3.10
121,v1063542320,2019,Newfoundland and Labrador,Employment,Females,Persons,9.8,2.3.3.11
122,v1063542321,2019,Newfoundland and Labrador,Employment,Females,Persons,10.7,2.3.3.12
123,v1063542322,2019,Newfoundland and Labrador,Employment,Females,Persons,13.0,2.3.3.13
124,v1063542323,2019,Newfoundland and Labrador,Employment,Females,Persons,12.0,2.3.3.14
125,v1063542324,2019,Newfoundland and Labrador,Employment,Females,Persons,14.6,2.3.3.15
126,v1063542325,2019,Newfoundland and Labrador,Employment,Females,Persons,13.9,2.3.3.16
127,v1063542326,2019,Newfoundland and Labrador,Employment,Females,Persons,12.4,2.3.3.17
128,v1063542327,2019,Newfoundland and Labrador,Employment,Females,Persons,7.6,2.3.3.18
129,v1063542328,2019,Newfoundland and Labrador,Employment,Females,Persons,4.0,2.3.3.19
130,v1063542329,2019,Newfoundland and Labrador,Employment,Females,Persons,2.8,2.3.3.20
131,v1063542330,2019,Newfoundland and Labrador,Employment,Females,Persons,1.2,2.3.3.21
132,v1063542354,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,106.1,2.4.2.1
133,v1063542355,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,9.0,2.4.2.2
134,v1063542356,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,97.1,2.4.2.3
135,v1063542357,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,43.8,2.4.2.4
136,v1063542375,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,48.3,2.4.2.22
137,v1063542358,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,53.3,2.4.2.5
138,v1063542359,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,70.6,2.4.2.6
139,v1063542360,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,26.6,2.4.2.7
140,v1063542361,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,101.1,2.4.2.8
141,v1063542362,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,2.0,2.4.2.9
142,v1063542363,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,7.0,2.4.2.10
143,v1063542364,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,9.8,2.4.2.11
144,v1063542365,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,10.8,2.4.2.12
145,v1063542366,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,11.0,2.4.2.13
146,v1063542367,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,12.2,2.4.2.14
147,v1063542368,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,13.3,2.4.2.15
148,v1063542369,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,13.4,2.4.2.16
149,v1063542370,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,13.1,2.4.2.17
150,v1063542371,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,8.4,2.4.2.18
151,v1063542372,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,5.0,2.4.2.19
152,v1063542373,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,3.6,2.4.2.20
153,v1063542374,2019,Newfoundland and Labrador,Full-time employment,Males,Persons,,2.4.2.21
154,v1063542376,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,88.0,2.4.3.1
155,v1063542377,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,6.6,2.4.3.2
156,v1063542378,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,81.3,2.4.3.3
157,v1063542379,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,38.2,2.4.3.4
158,v1063542397,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,41.0,2.4.3.22
159,v1063542380,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,43.2,2.4.3.5
160,v1063542381,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,63.0,2.4.3.6
161,v1063542382,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,18.3,2.4.3.7
162,v1063542383,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,85.8,2.4.3.8
163,v1063542384,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,1.0,2.4.3.9
164,v1063542385,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,5.7,2.4.3.10
165,v1063542386,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,7.8,2.4.3.11
166,v1063542387,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,9.5,2.4.3.12
167,v1063542388,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,10.7,2.4.3.13
168,v1063542389,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,10.1,2.4.3.14
169,v1063542390,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,12.6,2.4.3.15
170,v1063542391,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,12.2,2.4.3.16
171,v1063542392,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,10.3,2.4.3.17
172,v1063542393,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,5.8,2.4.3.18
173,v1063542394,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,2.2,2.4.3.19
174,v1063542395,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,1.7,2.4.3.20
175,v1063542396,2019,Newfoundland and Labrador,Full-time employment,Females,Persons,,2.4.3.21
176,v1063542420,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,12.4,2.5.2.1
177,v1063542421,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,5.5,2.5.2.2
178,v1063542422,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,6.9,2.5.2.3
179,v1063542423,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,2.6,2.5.2.4
180,v1063542441,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,2.2,2.5.2.22
181,v1063542424,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,4.3,2.5.2.5
182,v1063542425,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,3.4,2.5.2.6
183,v1063542426,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,3.5,2.5.2.7
184,v1063542427,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,10.2,2.5.2.8
185,v1063542428,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,2.9,2.5.2.9
186,v1063542429,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,2.6,2.5.2.10
187,v1063542430,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,1.0,2.5.2.11
188,v1063542431,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,0.7,2.5.2.12
189,v1063542432,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,,2.5.2.13
190,v1063542433,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,0.6,2.5.2.14
191,v1063542434,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,,2.5.2.15
192,v1063542435,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,,2.5.2.16
193,v1063542436,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,0.5,2.5.2.17
194,v1063542437,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,0.8,2.5.2.18
195,v1063542438,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,2.1,2.5.2.19
196,v1063542439,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,1.2,2.5.2.20
197,v1063542440,2019,Newfoundland and Labrador,Part-time employment,Males,Persons,1.0,2.5.2.21
198,v1063542442,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,23.4,2.5.3.1
199,v1063542443,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,6.7,2.5.3.2
200,v1063542444,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,16.7,2.5.3.3
201,v1063542445,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,7.3,2.5.3.4
202,v1063542463,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,7.6,2.5.3.22
203,v1063542446,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,9.4,2.5.3.5
204,v1063542447,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,11.0,2.5.3.6
205,v1063542448,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,5.7,2.5.3.7
206,v1063542449,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,21.6,2.5.3.8
207,v1063542450,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,3.7,2.5.3.9
208,v1063542451,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,3.1,2.5.3.10
209,v1063542452,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.9,2.5.3.11
210,v1063542453,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.2,2.5.3.12
211,v1063542454,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,,2.5.3.13
212,v1063542455,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.9,2.5.3.14
213,v1063542456,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,,2.5.3.15
214,v1063542457,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,,2.5.3.16
215,v1063542458,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,2.1,2.5.3.17
216,v1063542459,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.7,2.5.3.18
217,v1063542460,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.8,2.5.3.19
218,v1063542461,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,1.1,2.5.3.20
219,v1063542462,2019,Newfoundland and Labrador,Part-time employment,Females,Persons,0.7,2.5.3.21
220,v1063542816,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,89.5,2.11.2.1
221,v1063542817,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,62.1,2.11.2.2
222,v1063542818,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,93.4,2.11.2.3
223,v1063542819,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,94.4,2.11.2.4
224,v1063542837,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,95.6,2.11.2.22
225,v1063542820,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,92.5,2.11.2.5
226,v1063542821,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,95.5,2.11.2.6
227,v1063542822,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,88.4,2.11.2.7
228,v1063542823,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,90.8,2.11.2.8
229,v1063542824,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,40.8,2.11.2.9
230,v1063542825,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,72.9,2.11.2.10
231,v1063542826,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,90.7,2.11.2.11
232,v1063542827,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,93.9,2.11.2.12
233,v1063542828,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,96.5,2.11.2.13
234,v1063542829,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,96.1,2.11.2.14
235,v1063542830,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,96.4,2.11.2.15
236,v1063542831,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,97.1,2.11.2.16
237,v1063542832,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,95.6,2.11.2.17
238,v1063542833,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,90.3,2.11.2.18
239,v1063542834,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,70.4,2.11.2.19
240,v1063542835,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,76.6,2.11.2.20
241,v1063542836,2019,Newfoundland and Labrador,Proportion employed full-time,Males,Percentage,,2.11.2.21
242,v1063542838,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,79.0,2.11.3.1
243,v1063542839,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,49.3,2.11.3.2
244,v1063542840,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,83.0,2.11.3.3
245,v1063542841,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,84.1,2.11.3.4
246,v1063542859,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,84.4,2.11.3.22
247,v1063542842,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,82.1,2.11.3.5
248,v1063542843,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,85.1,2.11.3.6
249,v1063542844,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,76.3,2.11.3.7
250,v1063542845,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,79.9,2.11.3.8
251,v1063542846,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,21.7,2.11.3.9
252,v1063542847,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,64.8,2.11.3.10
253,v1063542848,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,79.6,2.11.3.11
254,v1063542849,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,88.8,2.11.3.12
255,v1063542850,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,82.3,2.11.3.13
256,v1063542851,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,84.2,2.11.3.14
257,v1063542852,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,86.3,2.11.3.15
258,v1063542853,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,87.8,2.11.3.16
259,v1063542854,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,83.1,2.11.3.17
260,v1063542855,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,76.3,2.11.3.18
261,v1063542856,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,55.0,2.11.3.19
262,v1063542857,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,60.7,2.11.3.20
263,v1063542858,2019,Newfoundland and Labrador,Proportion employed full-time,Females,Percentage,,2.11.3.21
264,v1063542882,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,10.5,2.12.2.1
265,v1063542883,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,37.9,2.12.2.2
266,v1063542884,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,6.6,2.12.2.3
267,v1063542885,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,5.6,2.12.2.4
268,v1063542903,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,4.4,2.12.2.22
269,v1063542886,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,7.5,2.12.2.5
270,v1063542887,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,4.6,2.12.2.6
271,v1063542888,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,11.6,2.12.2.7
272,v1063542889,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,9.2,2.12.2.8
273,v1063542890,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,59.2,2.12.2.9
274,v1063542891,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,27.1,2.12.2.10
275,v1063542892,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,9.3,2.12.2.11
276,v1063542893,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,6.1,2.12.2.12
277,v1063542894,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,,2.12.2.13
278,v1063542895,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,4.7,2.12.2.14
279,v1063542896,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,,2.12.2.15
280,v1063542897,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,,2.12.2.16
281,v1063542898,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,3.6,2.12.2.17
282,v1063542899,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,8.6,2.12.2.18
283,v1063542900,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,29.6,2.12.2.19
284,v1063542901,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,25.5,2.12.2.20
285,v1063542902,2019,Newfoundland and Labrador,Proportion employed part-time,Males,Percentage,41.7,2.12.2.21
286,v1063542904,2019,Newfoundland and Labrador,Proportion employed part-time,Females,Percentage,21.0,2.12.3.1
